ID,group,condition,meanERP
3,1,1,0.981725811958313
4,1,1,4.22609949111938
5,1,1,0.0535854175686836
6,1,1,-1.98604846000671
7,1,1,0.663696348667145
8,1,1,0.288156569004059
10,1,1,3.24844765663147
13,1,1,4.6063175201416
14,1,1,-1.60802185535431
16,1,1,-1.99819338321686
18,1,1,-0.689906597137451
19,1,1,-2.74517107009888
20,1,1,-3.03084349632263
21,1,1,-2.06711030006409
22,1,1,-0.534655153751373
23,1,1,-1.39842963218689
24,1,1,2.21319890022278
42,1,1,-0.249657690525055
44,1,1,1.18315446376801
3,1,2,1.12621057033539
4,1,2,2.3715353012085
5,1,2,1.60440742969513
6,1,2,-1.66464054584503
7,1,2,0.948256850242615
8,1,2,0.803530216217041
10,1,2,2.12213206291199
13,1,2,-1.54413974285126
14,1,2,1.99798047542572
16,1,2,-3.37162804603577
18,1,2,-0.3083436191082
19,1,2,-1.77852773666382
20,1,2,-4.25266075134277
21,1,2,-1.99084186553955
22,1,2,-1.24767196178436
23,1,2,-2.27371430397034
24,1,2,1.32112407684326
42,1,2,-2.11843729019165
44,1,2,10.9493627548218
45,2,1,1.48859691619873
41,2,1,-1.90396416187286
38,2,1,1.26726579666138
50,2,1,-3.95122933387756
9,2,1,1.14093708992004
27,2,1,-1.63363432884216
47,2,1,3.35005903244019
36,2,1,-3.20791172981262
32,2,1,-1.67460072040558
43,2,1,0.74533486366272
48,2,1,-4.53895378112793
28,2,1,-2.32154893875122
35,2,1,0.638407528400421
37,2,1,-0.287717372179031
29,2,1,-1.67963206768036
49,2,1,-1.11870944499969
2,2,1,-0.423061192035675
30,2,1,-0.737513363361359
46,2,1,1.10907101631165
39,2,1,-1.31831777095795
45,2,2,1.48373818397522
41,2,2,-2.81026482582092
38,2,2,-1.01189720630646
50,2,2,-3.85436105728149
9,2,2,0.588979661464691
27,2,2,-1.72907662391663
47,2,2,2.61352324485779
36,2,2,-2.05603909492493
32,2,2,-1.79113268852234
43,2,2,0.984220147132874
48,2,2,-4.21517896652222
28,2,2,-3.06735730171204
35,2,2,0.306784242391586
37,2,2,-1.48231077194214
29,2,2,-0.707674026489258
49,2,2,-0.315506786108017
2,2,2,-1.10888278484344
30,2,2,-1.76241338253021
46,2,2,2.92456603050232
39,2,2,-1.6684981584549
