ID,group,condition,meanERP
3,1,1,3.9613401889801
4,1,1,2.44138097763062
5,1,1,6.09531307220459
6,1,1,4.68961811065674
7,1,1,2.35166501998901
8,1,1,4.7165150642395
10,1,1,0.476500451564789
13,1,1,9.78205871582031
14,1,1,1.06725347042084
18,1,1,2.32767963409424
19,1,1,0.851949453353882
20,1,1,4.01896047592163
22,1,1,2.80796241760254
23,1,1,2.98406386375427
24,1,1,1.74958074092865
42,1,1,2.08805918693542
44,1,1,5.58472537994385
3,1,2,0.366753995418549
4,1,2,4.88437414169312
5,1,2,4.0890908241272
6,1,2,3.73585176467896
7,1,2,1.62271344661713
8,1,2,2.9743766784668
10,1,2,0.924267828464508
13,1,2,1.14519262313843
14,1,2,-1.50938582420349
18,1,2,2.3694806098938
19,1,2,1.59471297264099
20,1,2,0.711908221244812
22,1,2,4.48096609115601
23,1,2,0.913553297519684
24,1,2,2.80886030197144
42,1,2,3.83466053009033
44,1,2,4.3005313873291
41,2,1,5.06125640869141
38,2,1,2.02698564529419
50,2,1,3.72441148757935
9,2,1,3.81858491897583
27,2,1,1.30517017841339
47,2,1,4.0830774307251
36,2,1,2.62666821479797
32,2,1,3.14900851249695
43,2,1,2.72665524482727
48,2,1,1.80388510227203
28,2,1,3.12062478065491
35,2,1,1.52064752578735
37,2,1,2.87326240539551
29,2,1,1.14410388469696
49,2,1,1.48045969009399
2,2,1,-0.0758778303861618
30,2,1,-0.167321339249611
46,2,1,2.84654569625854
39,2,1,-0.829940974712372
1,2,1,2.0041835308075
41,2,2,2.47966241836548
38,2,2,1.35598349571228
50,2,2,-1.02917039394379
9,2,2,8.64417266845703
27,2,2,1.93505370616913
47,2,2,3.39179706573486
36,2,2,1.91133773326874
32,2,2,3.28514170646667
43,2,2,2.06856226921082
48,2,2,2.45232725143433
28,2,2,4.82969760894775
35,2,2,2.39765787124634
37,2,2,-3.25942659378052
29,2,2,3.1537036895752
49,2,2,1.86612498760223
2,2,2,-0.454799473285675
30,2,2,0.863105595111847
46,2,2,6.16641712188721
39,2,2,1.47814035415649
1,2,2,2.14605140686035
