ID,group,condition,meanERP
3,1,1,4.54225063323975
4,1,1,1.82920205593109
5,1,1,0.61556077003479
6,1,1,2.29874658584595
7,1,1,2.99652719497681
8,1,1,4.15649843215942
10,1,1,-1.21428287029266
13,1,1,4.12626647949219
14,1,1,3.09655213356018
18,1,1,1.80522298812866
19,1,1,1.6027934551239
20,1,1,-1.03074812889099
22,1,1,0.890642404556274
23,1,1,0.333125799894333
24,1,1,2.1091194152832
42,1,1,0.190657213330269
44,1,1,3.44493556022644
3,1,2,-0.608799755573273
4,1,2,1.48341882228851
5,1,2,-1.9841331243515
6,1,2,-3.04583668708801
7,1,2,-1.47485840320587
8,1,2,-2.74018979072571
10,1,2,0.760459780693054
13,1,2,-0.354229271411896
14,1,2,-2.31963801383972
18,1,2,-0.532693147659302
19,1,2,-0.41009247303009
20,1,2,-0.28124588727951
22,1,2,0.652676999568939
23,1,2,0.312541723251343
24,1,2,2.51947712898254
42,1,2,-0.264130622148514
44,1,2,1.00413906574249
41,2,1,4.39870262145996
38,2,1,0.310456484556198
50,2,1,0.59208482503891
9,2,1,3.29017853736877
27,2,1,0.362711638212204
47,2,1,-4.02153921127319
36,2,1,-2.68904209136963
32,2,1,0.917322278022766
43,2,1,0.450212478637695
48,2,1,-1.16760361194611
28,2,1,1.57324588298798
35,2,1,0.89232337474823
37,2,1,-1.43630135059357
29,2,1,-0.948456943035126
49,2,1,-0.967576920986176
2,2,1,1.0823620557785
30,2,1,-0.137962862849236
46,2,1,2.23828411102295
39,2,1,-4.20752429962158
1,2,1,1.36951005458832
41,2,2,0.189224675297737
38,2,2,2.68796563148499
50,2,2,-4.28201866149902
9,2,2,7.1539945602417
27,2,2,0.131598874926567
47,2,2,-1.10929250717163
36,2,2,-1.39349508285522
32,2,2,0.705965340137482
43,2,2,1.73894131183624
48,2,2,0.418584883213043
28,2,2,3.88941287994385
35,2,2,2.8368616104126
37,2,2,-2.73189425468445
29,2,2,-4.64038848876953
49,2,2,-3.46965217590332
2,2,2,1.13152432441711
30,2,2,-0.466927647590637
46,2,2,6.50194215774536
39,2,2,0.933007121086121
1,2,2,-0.0998229160904884
