ID,group,condition,meanERP
3,1,1,-5.85297298431396
4,1,1,-1.73609817028046
5,1,1,-1.66419458389282
6,1,1,-0.722077667713165
7,1,1,-1.6160968542099
8,1,1,-4.3790979385376
10,1,1,2.50703811645508
13,1,1,14.8228445053101
14,1,1,-3.29397511482239
18,1,1,-0.417528569698334
19,1,1,-0.320412307977676
20,1,1,1.1006885766983
22,1,1,-2.31816577911377
23,1,1,0.872546672821045
24,1,1,-1.33848786354065
42,1,1,-1.18255829811096
44,1,1,-2.78407740592957
3,1,2,-5.36466073989868
4,1,2,2.11528253555298
5,1,2,3.89419841766357
6,1,2,3.62369298934937
7,1,2,0.798556327819824
8,1,2,7.08468866348267
10,1,2,-1.4760719537735
13,1,2,2.03435730934143
14,1,2,-1.75101208686829
18,1,2,0.518413364887238
19,1,2,-0.691060721874237
20,1,2,-1.30680024623871
22,1,2,-2.39861989021301
23,1,2,-2.89036273956299
24,1,2,-0.548367559909821
42,1,2,-5.48435878753662
44,1,2,-3.34213542938232
41,2,1,-3.2680025100708
38,2,1,3.23578953742981
50,2,1,-0.812072217464447
9,2,1,-2.642085313797
27,2,1,-0.0710011199116707
47,2,1,-0.374047160148621
36,2,1,3.7302451133728
32,2,1,-1.9185608625412
43,2,1,-1.18882250785828
48,2,1,0.905687630176544
28,2,1,-1.6060448884964
35,2,1,-0.538436949253082
37,2,1,-1.19253981113434
29,2,1,-0.571828126907349
49,2,1,0.515677332878113
2,2,1,-1.20326900482178
30,2,1,0.387755870819092
46,2,1,-1.89996194839478
39,2,1,5.19954109191895
1,2,1,-1.4660712480545
41,2,2,-0.678936064243317
38,2,2,-2.415442943573
50,2,2,1.32391548156738
9,2,2,-2.38104653358459
27,2,2,-0.483317643404007
47,2,2,-0.431110471487045
36,2,2,1.23496639728546
32,2,2,-0.991197049617767
43,2,2,-1.61783707141876
48,2,2,-0.0342092737555504
28,2,2,-4.66591453552246
35,2,2,-1.4055233001709
37,2,2,0.535052299499512
29,2,2,1.95622086524963
49,2,2,1.8107887506485
2,2,2,-2.11120295524597
30,2,2,-0.235052242875099
46,2,2,-4.87594747543335
39,2,2,-0.0953886434435844
1,2,2,0.0738581195473671
